Dilithium 2,Dilithium 3,Dilithium 5
0.011097431182861328,0.01732778549194336,0.027719497680664062
0.011128902435302734,0.017688751220703125,0.027382373809814453
0.01194000244140625,0.01708054542541504,0.028319358825683594
0.011076688766479492,0.017176151275634766,0.028010129928588867
0.01171565055847168,0.017450332641601562,0.027920007705688477
0.011256933212280273,0.01783919334411621,0.028356075286865234
0.011345386505126953,0.017542123794555664,0.02750110626220703
0.011033058166503906,0.017372846603393555,0.0287015438079834
0.011216163635253906,0.017618417739868164,0.02919936180114746
0.011644601821899414,0.017954349517822266,0.029139995574951172
0.011284589767456055,0.01759481430053711,0.027444839477539062
0.011501073837280273,0.01767754554748535,0.027564287185668945
0.011487960815429688,0.0174713134765625,0.0302579402923584
0.011286258697509766,0.017536401748657227,0.027207136154174805
0.011929750442504883,0.017569541931152344,0.027898550033569336
0.01172494888305664,0.017555952072143555,0.027141332626342773
0.01228785514831543,0.02098870277404785,0.02743244171142578
0.011130094528198242,0.02044677734375,0.02734827995300293
0.011022806167602539,0.017702341079711914,0.027550458908081055
0.011391639709472656,0.017857074737548828,0.02760767936706543
0.011150121688842773,0.017594099044799805,0.027767419815063477
0.011069774627685547,0.01782679557800293,0.027768850326538086
0.013029813766479492,0.01772904396057129,0.027867555618286133
0.012895345687866211,0.01901865005493164,0.02746748924255371
0.011343240737915039,0.017751455307006836,0.027736902236938477
0.011347532272338867,0.017909765243530273,0.027508974075317383
0.01181650161743164,0.017828941345214844,0.02842569351196289
0.011728048324584961,0.0178375244140625,0.027285337448120117
0.011576652526855469,0.017726898193359375,0.027361392974853516
0.011102676391601562,0.017769813537597656,0.028412818908691406
0.011674642562866211,0.01818704605102539,0.030410289764404297
0.011081457138061523,0.018811464309692383,0.02920842170715332
0.011472702026367188,0.017966032028198242,0.027614116668701172
0.011059284210205078,0.018059492111206055,0.027411460876464844
0.011057376861572266,0.017911434173583984,0.027820110321044922
0.010971546173095703,0.017750978469848633,0.027394771575927734
0.011245489120483398,0.017826080322265625,0.02733445167541504
0.01269078254699707,0.018703460693359375,0.028440237045288086
0.012706518173217773,0.017764806747436523,0.02734851837158203
0.011170387268066406,0.018021106719970703,0.02789449691772461
0.011253595352172852,0.017792463302612305,0.027462244033813477
0.011003732681274414,0.018098831176757812,0.02754521369934082
0.011108875274658203,0.01820993423461914,0.02727055549621582
0.011577844619750977,0.017710447311401367,0.02799057960510254
0.011334657669067383,0.01767134666442871,0.028179407119750977
0.011289834976196289,0.01777195930480957,0.027798175811767578
0.011438608169555664,0.018030405044555664,0.027351856231689453
0.011331558227539062,0.017520666122436523,0.027101755142211914
0.011368989944458008,0.018552780151367188,0.02742624282836914
0.011350870132446289,0.017564773559570312,0.027063369750976562
0.011537551879882812,0.01744818687438965,0.027126073837280273
0.01230311393737793,0.01793193817138672,0.027100801467895508
0.011411905288696289,0.017785310745239258,0.027085065841674805
0.011455059051513672,0.017462968826293945,0.02725362777709961
0.011049509048461914,0.01737070083618164,0.02721238136291504
0.011022090911865234,0.01744365692138672,0.027068376541137695
0.011183977127075195,0.017217397689819336,0.0271303653717041
0.011046886444091797,0.01741194725036621,0.02773571014404297
0.011136293411254883,0.017522573471069336,0.027467727661132812
0.01098775863647461,0.017488479614257812,0.02860116958618164
0.011048078536987305,0.02041769027709961,0.027524948120117188
0.01135873794555664,0.01848125457763672,0.027782917022705078
0.01155710220336914,0.017715930938720703,0.04035782814025879
0.011478185653686523,0.017612457275390625,0.028031587600708008
0.011129140853881836,0.017455101013183594,0.0273590087890625
0.011301755905151367,0.01755046844482422,0.028265953063964844
0.01121973991394043,0.017493486404418945,0.02756190299987793
0.01173257827758789,0.017436504364013672,0.029387235641479492
